"Connection credentials", "التعليمة البرمجية للاتصال"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.", "إرسال رسالة تأكيد البريد الإلكتروني. الحساب لا يتم التحقق من هذا <a href='%s'>انقر هنا لإعادة</a>"
"Customer is already logged in.", "تم الزبون بتسجيل الدخول بالفعل"
"Could not login", ""
"Login and password are required.", "تسجيل الدخول والباسورد مطلوبة."
"This account need confirmation. See in confirmation email.", "هذا الحساب يحتاج الى تأكيد الرسولي في رسالة تأكيد بالبريد الإلكتروني"
"Account is created. Please check email to confirm.", "Account is created. Please check email to confirm."
"Invalid Exception code '%d'", "رمز الاستثناء غير صالح : %d"
"Order List", "قائمة طلب"
"Order #", "# طلب"
"Order Date", "تاريخ طلب"
"Billing Country", "بلد إرسال الفواتير"
"Shipping Country", "بلد الشحن"
"Qty. Ordered", "الكمية المطلوبة"
"Subtotal", "الإجمالي الفرعي"
"Total", "الإجمالي"
"Invoiced", "المفوترة"
"Status", "الحالة"
"Action", "إجراء"
"View", "عرض"
"Total Customers from JMango360 Report", "تقرير بإجمالي الزبائن من  JMango360"
"JMango360 Report - Total number of registered customers", "تقرير بإجمالي الزبائن من  JMango360"
"Show Report", "عرض التقرير"
"Total Ordered from JMango360 Report", "تقرير بالإجمالي المطلوبة من JMango360"
"JMango360 Report - Total number of orders", "تقرير بالإجمالي المطلوبة من JMango360"
"Total Sales from JMango360 Report", "تقرير بإجمالي المبيعات من  JMango360"
"JMango360 Report - Total number of sales", "تقرير بإجمالي المبيعات من  JMango360"
"Chart", "جدول"
"Period", "فترة"
"Customers", "زبائن"
"Orders", "طلبات"
"Order From", "طلبات من"
"JMango360 User", "JMango360 مستخدم"
"Download", "تحميل"
"Clear", "واضح"
"No", "لا"
"Yes", "نعم"
"Invalid token", "رمز غير صالحة"
"Session expired.", "انتهت الجلسة"
"No rest model found.", "لم يتم العثور على نموذج بقية"
"Resource method not implemented", "طريقة الموارد لم تنفذ"
"Minimum order amount is %s", "%s كمية من أجل الحد الأدنى هو"
"Guest checkout is not enabled", "لم يتم تمكين خروج الضيف"
"Product ID invalid", "معرف المنتج غير صالح"
"Something is wrong with the order.", "هناك خطأ ما مع النظام"
"Something is wrong with the quote or order.", "هناك خطأ ما مع  الاقتباس أو النظام."
"Cart is empty.", "سلة التسوق فارغة."
"Multishipping not implemented yet.", "لم تنفذ متعددة الشحن بعد"
"Checkout method not implemented yet: ", "لم تنفذ طريقة الخروج بعد"
"Could not log-out customer", "لا يمكن الزبون بتسجيل الخروج"
"Please login.", "يرجي تسجيل الدخول"
"Country code cannot be empty", "لا يمكن رمز البلد  أن يكون فارغ"
"Country does not exist: ", "لا يوجد بلد: "
