
"Connection credentials","Forbindelse loginoplysninger"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Denne konto er ikke bekræftet. <a href='%s'>Klik her</a> for at sende e-mail bekræftelse igen."
"Customer is already logged in.","Kunden er allerede logget ind."
"Could not login","Could not login"
"Login and password are required.","Login og adgangskode er påkrævet."
"Account is created. Please check email to confirm.","Konto er oprettet. Kontroller e-mail for at bekræfte."
"Invalid Exception code '%d'", "Invalid Exception code '%d'"
"Order List", "Ordre list"
"Order #", "Ordre #"
"Order Date", "Ordre Dato"
"Billing Country", "Faktureringsland"
"Shipping Country", "Forsendelsesland"
"Qty. Ordered", "Stk. Bestilt"
"Subtotal", "Subtotal"
"Total", "Total"
"Invoiced", "Faktureret"
"Status", "Status"
"Action", "Handling"
"View", "Vis"
"Total Customers from JMango360 Report", "Total Kunder fra JMango360 Rapport"
"JMango360 Report - Total number of registered customers", "Total Kunder fra JMango360 Rapport"
"Show Report", "Vis Rapport"
"Total Ordered from JMango360 Report", "Total Bestilt fra JMango360 Rapport"
"JMango360 Report - Total number of orders", "Total Bestilt fra JMango360 Rapport"
"Total Sales from JMango360 Report", "Total Salg fra JMango360 Rapport"
"JMango360 Report - Total number of sales", "Total Salg fra JMango360 Rapport"
"Chart", "Oversigt"
"Period", "Periode"
"Customers", "Kunder"
"Orders", "Ordrer"
"Order From", "Bestil Fra"
"JMango360 User", "JMango360 Bruger"
"Download", "Download"
"Clear", "Slet"
"No", "Nej"
"Yes", "Ja"
"Invalid token", "Ugyldig adgang"
"Session expired.", "Session udløbet."
"No rest model found.", "No rest model found."
"Resource method not implemented", "Ressourcemetode ikke implementeret"
"Minimum order amount is %s", "Minimum ordermængde er %s"
"Guest checkout is not enabled", "Gæst check ud er ikke aktiveret"
"Product ID invalid", "Produkt ID er ugyldig"
"Something is wrong with the order.", "Det er noget galt med ordren."
"Something is wrong with the quote or order.", "Det er noget galt med tilbuddet eller ordren."
"Cart is empty.", "Indkøbskurven er tom."
"Multishipping not implemented yet.", "Multiforsendelse ikke implementeret endnu."
"Checkout method not implemented yet: ", "Bestillingsmetode ikke implementeret endnu: "
"Could not log-out customer", "Kunne ikke logge kunde ud"
"Please login.", "Venligst log ind."
"Country code cannot be empty", "Landekode kan ikke være tom"
"Country does not exist: ", "Land findes ikke: "
"Country does not exist", "Land findes ikke"
"Store not found", "Butik ikke fundet"
"Not allowed.", "Ikke tilladt."
"Set store option %s not found", "Indstil butikmulighed %s ikke fundet"
"Set store option cannot be empty.", "Indstil butikmulighed kan ikke være tom."
"Product ID invalid", "Produkt ID er ugyldig"
"Product not found", "Produkt ikke fundet"
"Please login first!", "Venligt login først!"
"Cannot specify product.", "Kan ikke angive produkt."
"Item not found", "Produkt ikke fundet"
"%1$s has been updated in your wishlist.", "%1$s Er blevet opdateret i din ønskeliste."
