
"Connection credentials","Anmeldeinformationen"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Dieser Account ist noch nicht verifiziert. <a href='%s'>Hier klicken</a> um erneut eine Bestätigungs-E-Mail zu schicken."
"Customer is already logged in.","Der Kunde ist bereits eingeloggt."
"Could not login","Could not login"
"Login and password are required.","Benutzername und Passwort müssen eingegeben werden."
"Account is created. Please check email to confirm.","Account is created. Please check email to confirm."
"Invalid Exception code '%d'", "Ungültiger Exceptioncode '%d'"
"Order List", "Bestellliste"
"Order #", "Bestellnummer"
"Order Date", "Bestelldatum"
"Billing Country", "Rechnungsinformationen"
"Shipping Country", "Rechnungsdetails"
"Qty. Ordered", "Anzahl bestellt"
"Subtotal", "Zwischensumme"
"Total", "Gesamtsumme"
"Invoiced", "In Rechnung gestellt"
"Status", "Status"
"Action", "Aktion"
"View", "Ansicht"
"Show Report", "Bericht anzeigen"
"Total Customers from JMango360 Report", "Gesamtzahl Kunden laut JMango360 Bericht"
"JMango360 Report - Total number of registered customers","Gesamtzahl Kunden laut JMango360 Bericht"
"Total Ordered from JMango360 Report", "Gesamtzahl der Bestellungen bei JMango360 laut Bericht"
"JMango360 Report - Total number of orders","Gesamtzahl der Bestellungen bei JMango360 laut Bericht"
"Total Sales from JMango360 Report", "Gesamtverkäufe JMango360 laut Bericht"
"JMango360 Report - Total number of sales","Gesamtverkäufe JMango360 laut Bericht"
"Chart", "Graph"
"Period", "Zeitraum"
"Customers", "Kunden"
"Orders", "Bestellungen"
"Order From", "Bestellen von"
"JMango360 User", "JMango360 Benutzer"
"Download", "Download"
"Clear", "Löschen"
"No", "Nein"
"Yes", "Ja"
"Invalid token", "Ungültiger Token"
"Session expired.", "Sitzung abgelaufen."
"No rest model found.", "REST Modell nicht gefunden."
"Resource method not implemented", "Ressourcenmethode nicht angewendet"
"Minimum order amount is %s", "Mindestbestellwert ist %s"
"Guest checkout is not enabled", "Bezahlung als Gast nicht möglich"
"Product ID invalid", "Ungültige Artikelnummer"
"Something is wrong with the order.", "Etwas ist schief gegangen mit Ihrer Bestellung."
"Something is wrong with the quote or order.", "Etwas ist schief gegangen mit dem Angebot oder der Bestellung."
"Cart is empty.", "Warenkorb ist leer."
"Multishipping not implemented yet.", "Multishopping ist noch nicht verfügbar."
"Checkout method not implemented yet: ", "Bezahlmethode ist noch nicht verfügbar: "
"Could not log-out customer", "Kunde konnte nicht ausgeloggt werden"
"Please login.", "Bitte loggen Sie sich ein."
"Country code cannot be empty", "Ländercode ist ein Pflichtfeld"
"Country does not exist: ", "Land existiert nicht: "
"Country does not exist", "Land existiert nicht"
"Store not found", "Geschäft nicht gefunden"
"Not allowed.", "Nicht zulässig."
"Set store option %s not found", "Die ausgewählte Ladenoption %s konnte nicht gefunden werden"
"Set store option cannot be empty.", "Sie müssen eine Ladenoption auswählen."
"Product ID invalid", "ungültige Artikelnummer"
"Product not found", "Artikel konnte nicht gefunden werden"
"Please login first!", "Bitte loggen Sie sich zuerst ein!"
"Cannot specify product.", "Artikel kann nicht bestimt werden."
"Item not found", "Artikel wurde nicht gefunden"
"%1$s has been updated in your wishlist.", "%1$s Wurde Ihrer Wunschliste hinzugefügt."
"An error occurred while updating your wishlist.", "Beim aktualisieren Ihrer Wunschliste ist ein Fehler aufgetreten."
"Cannot specify your wishlist item.", "Der Artikel auf Ihrer Wunschliste konnte nicht gefunden werden."
"The product does not exist.", "Dieser Artikel existiert nicht."
"Wishlist item removed", "Der Artikel wurde von Ihrer Wunschliste entfernt"
"An error occurred while deleting the item from wishlist: %s", "Beim löschen des Artikels von Ihrer Wunschliste ist ein Fehler aufgetreten: %s"
"An error occurred while deleting the item from wishlist.", "Beim löschen des Artikels von Ihrer Wunschliste ist ein Fehler aufgetreten."
"Can't save description %s", "Beschreibung konnte nicht gespeichert werden: %s"
"Can't delete item from wishlist", "Artikel konnte nicht von der Wunschliste gelöscht werden"
"Can't save qty %s", "Anzahl konnte nicht gespeichert werden: %s"
"Wishlist updated successfully", "Ihre Wunschliste wurde erfolgreich aktualisiert"
"Can't update wishlist", "Ihre Wunschliste konnte nicht aktualisiert werden"
"No item updated", "Kein Artikel wurde aktualisiert"
"Cannot specify product", "Der Artikel konnte nicht ausgewählt werden"
"%s has been added to your wishlist.", "%s wurde Ihrer Wunschliste hinzugefügt."
"An error occurred while adding item to your wishlist: %s", "Beim hinzufügen dieses Artikels zu Ihrer Wunschliste ist ein Fehler aufgetreten: %s"
