
"Connection credentials","Credenciales de conexión"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href='%s'>Haga clic aquí</a> para reenviar el correo electrónico de confirmación."
"Customer is already logged in.","El usuario ya ha iniciado sesión."
"Could not login","Could not login"
"Login and password are required.","Se requiere usuario y contraseña."
"Account is created. Please check email to confirm.","Account is created. Please check email to confirm."
"Invalid Exception code '%d'", "Código de excepción inválido '%d'"
"Order List", "Lista de pedidos"
"Order #", "Número de pedido"
"Order Date", "Fecha de pedido"
"Billing Country", "Detalles de factura"
"Shipping Country", "Información de envío"
"Qty. Ordered", "Cantidad pedida"
"Subtotal", "Subtotal"
"Total", "Total"
"Invoiced", "Facturado"
"Status", "Estado de su envío"
"Action", "Acción"
"View", "Vista"
"Show Report", "Mostrar informe"
"Total Customers from JMango360 Report", "Total de clientes en el informe JMango360"
"JMango360 Report - Total number of registered customers","Total de clientes en el informe JMango360"
"Total Ordered from JMango360 Report", "Total de pedidos en el informe JMango360"
"JMango360 Report - Total number of orders","Total de pedidos en el informe JMango360"
"Total Sales from JMango360 Report", "Total de ventas en el informe JMango360"
"JMango360 Report - Total number of sales","Total de ventas en el informe JMango360"
"Chart", "Gráfico"
"Period", "Período"
"Customers", "Clientes"
"Orders", "Pedidos"
"Order From", "Pedido desde"
"JMango360 User", "Usuario JMango360"
"Download", "Descarga"
"Clear", "Eliminar"
"No", "No"
"Yes", "Sí"
"Invalid token", "Token inválido"
"Session expired.", "Su sesión ha caducado."
"No rest model found.", "No rest model found."
"Resource method not implemented", "Resource method not implemented"
"Minimum order amount is %s", "Cantidad mínima de pedido es %s"
"Guest checkout is not enabled", "El cierre de sesión para invitados no está disponible"
"Product ID invalid", "Identificación del producto no válida."
"Something is wrong with the order.", "Hay un problema con su pedido."
"Something is wrong with the quote or order.", "Hay un problema con su pedido o con la cantidad de su pedido."
"Cart is empty.", "Su cesta de compra está vacía."
"Multishipping not implemented yet.", "Los envíos múltiples aún no están disponibles."
"Checkout method not implemented yet: ", "El método de pago no está disponible todavía: "
"Could not log-out customer", "No ha sido posible cerrar sesión"
"Please login.", "Por favor, incie sesión."
"Country code cannot be empty", "No se puede dejar en blanco el código del país"
"Country does not exist: ", "El país no existe: "
"Country does not exist", "El país no existe"
"Store not found", "No se ha encontrado la tienda"
"Not allowed.", "No permitido."
"Set store option %s not found", "Ajuste de opción de tienda %s no encontrada"
"Set store option cannot be empty.", "Por favor, seleccione una tienda."
"Product ID invalid", "La identificación del producto es inválida."
"Product not found", "Product not found"
"Please login first!", "Por favor, inicie sesión!"
"Cannot specify product.", "Producto no especificado."
"Item not found", "Artículo no encontrado"
"%1$s has been updated in your wishlist.", "%1$s Se ha añadido a tu lista de deseos."
"An error occurred while updating your wishlist.", "Se ha producido un error al actualizar tu lista de deseos."
"Cannot specify your wishlist item.", "No se ha podido especificar el artículo en tu lista de deseos."
"The product does not exist.", "El producto no existe."
"Wishlist item removed", "El artículo se ha eliminado de su lista de deseos"
"An error occurred while deleting the item from wishlist: %s", "Se ha producido un error al eliminar el artículo de su lista de deseos: %s"
"An error occurred while deleting the item from wishlist.", "Se ha producido un error al eliminar el artículo de su lista de deseos."
"Can't save description %s", "No es posible guardar la descripción: %s"
"Can't delete item from wishlist", "No es posible eliminar el artículo de su lista de deseos"
"Can't save qty %s", "No es posible guardar la cantidad %s"
"Wishlist updated successfully", "Su lista de deseos se ha actualizado"
"Can't update wishlist", "No se ha podido actualizar su lista de deseos"
"No item updated", "Ningún artículo ha sido añadido"
"Cannot specify product", "No se puede especificar el producto"
"%s has been added to your wishlist.", "%s se ha añadido a su lista de deseos."
"An error occurred while adding item to your wishlist: %s", "Se ha producido un error al añadir un artículo a su lista de deseos: %s"
"An error occurred while adding item to your wishlist", "Se ha producido un error al añadir un artículo a su lista de deseos"
"Wishlist not allowed", "Lista de deseos no permitida"
"Wishlist doesn't exist", "Lista de deseos inexistente."
"Customer not logged in", "El cliente no ha iniciado la sesión"
"Coupon is not valid: ", "El cupón no es válido: "
"Coupon could not be applied.", "No ha sido posible aplicar el cupón."
"%s: Minimum quantity allowed for purchase is %s.", "%s: La cantidad mínima de compra es de %s."
"%s: Maximum quantity allowed for purchase is %s.", "%s: La cantidad máxima de compra es de %s."
"%s was added to your shopping cart.", "%s fue añadido a su cesta de la compra."
"No cart data found.", "No se ha encontrado información sobre su cesta de compra."
"Your shopping cart has been updated.", "Su cesta de la compra ha sido actualizada."
"No bundle-product cart item ID found.", "La identificación del paquete de productos no ha sido encontrada en su cesta de la compra."
"The product you are trying to delete could not be found in the cart (item id is %s not found in cart).", "El producto que intenta eliminar no se encuentra en su cesta de la compra (la identificación del artículo %s no se encuentra en su cesta de la compra)."
"The product has been deleted from your shopping cart.", "El producto ha sido eliminado de su cesta de compra."
"Category not found.", "Categoría no encontrada."
"Category not available.", "Categoría no disponible."
"No category found.", "No se ha encontrado la categoría."
"Your search returns no results.", "No se han encontrado resultados para su búsqueda."
"Query cannot be empty.", "La casilla de consultas no puede permanecer vacia."
"Methods are not complete yet. Cart shipping address is not yet completed and saved.", "No se han completado todos los detalles sobre los métodos. La dirección de envío aún no ha sido completada y guardada."
"Methods are not complete yet. Cart is empty.", "Los detalles sobre los métodos no se han completado todavía. Su cesta de la compra está vacía."
"Shipping method has no shipping carrier object: %s", "El modo de envío no tiene ningún transportista disponible: %s"
"Carrier object has no collectRates method: %s", "El transportista no dispone del método collectRates: %s"
"Shipping method has no rates object: %s", "El modo de envío no dispone rates object: %s"
"Shipping method has no getAllRates function: %s", "El modo de envío no contiene la función getAllRates: %s"
"Shipping method has no rates: %s", "El modo de envío no tiene tasas: %s"
"Shipping method can not be empty.", "El modo de envío no puede permanecer vacío."
"This shipping method is currently not available.", "El modo de envío no está disponible en este momento."
"Customer shipping address not found.", "Dirección de envío no encontrada."
"Customer shipping address email not found.", "Dirección de correo electrónico para el envío no encontrada."
"Customer billing address not found.", "Dirección de facturación no encontrada."
"Payment method cannot be empty.", "El método de pago no puede permanecer vacío."
"Email cannot be empty.", "Su dirección de correo electrónico no puede permanecer vacía."
"This payment method is currently not available.", "Este método de pago no está disponible en este momento."
"Please add ", "Por favor, añada "
"Request info not matches the order.", "La información requerida no concuerda con el pedido."
"No payment provider to redirect found.", "No se ha encontrado un proveedor de medios de pago al que ser redireccionado."
"Request info does not match the quote. Probably the cart is ordered or the session is expired.", "La información requerida no concuerda con la cuota. Probablemente la cesta ya haya sido pedida o la sesión ha caducado."
"Cart is no longer active.", "La cesta ya no está disponible."
"Replaced by new order.", "Sustituido por un nuevo pedido."
"Cannot save the address: ", "No se puede guardar la dirección: "
"The address does not belong to this customer.", "La dirección no pertenece a este cliente."
"Default billing address can not be removed.", "La dirección de facturación por defecto no se puede eliminar."
"Default shipping address can not be removed.", "La dirección de envío por defecto no puede ser eliminada."
"An error occurred while deleting the address.", "Se ha producido un error al eliminar la dirección."
"Address ID can not be empty.", "Los detalles sobre la dirección son obligatorios."
"New password field cannot be empty.", "New password field cannot be empty."
"Invalid current password", "Contraseña no válida"
"The account information has been saved.", "La información de la cuenta ha sido guardada."
"Could not retrieve list: ", "No se ha podido recuperar la lista: "
"Order not found (no ID).", "Pedido no encontrado (No hay ID)."
"Invalid email address.", "El correo electrónico no es válido."
"Please enter your email.", "Por favor, introduzca su correo electrónico."
"This account needs confirmation. See in confirmation email.", "Su cuenta debe ser verificada. Por favor, compruebe su correo de confirmación."
"No products found.", "Ningún producto encontrado."
"Category not found.", "Categoría no encontrada."
"Cannot find customer ID, please try again!", "No ha sido posible encontrar el ID del cliente, por favor, inténtelo de nuevo!"
"You must leave at least one payment method available.", "Debe dejar disponible al menos un método de pago."
"You must leave at least one shipping method available.", "Debe dejar disponible al menos un método de envío."
"None", "Ninguno"
"Base Image", "Imagen de base"
"Small Image", "Imagen pequeña"
"Thumbnail", "Miniatura"
"Shipping Excl. Tax (%s)", "Envío libre de impuestos (%s)"
"Shipping Incl. Tax (%s)", "Envío incluyendo impuestos (%s)"
"Subtotal (Excl. Tax)", "Subtotal (Excluyendo impuestos)"
"Subtotal (Incl. Tax)", "Subtotal (Incluyendo impuestos)"
"Grand Total Excl. Tax", "Importe Total excluyendo impuestos"
"Grand Total Incl. Tax", "Importe Total incluyendo impuestos"
"Unable to set Payment Method.", "Imposible seleccionar método de pago."
"Reports", "Informes"
"Order Details", "Detalles del pedido"
"Sales Reports", "Informe de ventas"
"Orders Reports", "Informe de pedidos"
"Customers Reports", "Informe de clientes"
"Version", "Versión"
"The plugin version", "Versión plug-in"
"User Name", "Nombre de usuario"
"This username will be checked from every App while a session is set up between the App and the Magento store.", "Este usuario será comprobado desde todas las aplicaciones, siempre y cuando haya una sesión establecida entre la App y Magento store."
"Api Key", "Api Key"
"This key will be checked from every App while a session is set up between the App and the Magento store.", "Esta ‘key’ se comprobará desde cualquier aplicación mientras haya una sesión establecida entre App y Magento store."
"Use token for Api communications", "Use Token para comunicaciones Api"
"Use token will add check and refresh the token with every request.", "El uso del token añadirá. Compruebe y actualice el símbolo con cada petición."
"Catalogue Settings", "Ajustes del catálogo"
"Include all active categories", "Incluir todas las categorías disponibles"
"Include all ""Active"" categories regardless of whether or not they are included in navigation", "Incluir todas las categorías disponibles sin importar, si están o no, incluidas en el navegador."
"Display attribute on Product Listing", "Mostrar las características de los productos en los listados"
"This attribute will be displayed in product listing", "Esta característica será mostrada en los listados de productos"
"Display attribute on Product Details", "Mostrar características en los detalles del producto."
"This attribute will be displayed in product details", "Esta característica será mostrada en los detalles del producto"
"Mobile App Checkout Settings", "Ajustes de cierre de sesión de la aplicación móvil"
"Excluded shipping methods", "Excluir modos de envío"
"Select one or more, but not all shipping methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Seleccione uno o más, pero no todos los métodos no compatibles con la aplicación móvil. Esta opción es ajustable en cualquier momento durante o después de la creación de la aplicación JMango360."
"Excluded payment methods", "Excluir métodos de pago"
"Select one or more, but not all payment methods that are not suitable/compatible to be used in mobile app environment. This can be set anytime during or after creation of JMango360 application.", "Selecciones uno o más, pero no todos los métodos de pago no compatibles con la aplicación móvil. Esta opción es ajustable en todo momento durante o después de la creación de la aplicación JMango360."
"Web checkout URL", "URL de cierre de sesión en la Web"
"Enter custom checkout url of website if Jmango360 plugin could not detect. Ex: checkout/onepage.", "Introduzca su URL personalizado para el cierre de sesión de la página web si Jmango360 no lo ha detectado. Ej: checkout/onepage."
"Product image gallery settings", "Ajustes de la galería de productos"
"Detail page image cache-width", "Imágenes con ancho caché en la página de detalles"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Establezca el tamaño caché por defecto para imágenes grandes en la página de detalles."
"Detail page image cache-height", "Imágenes con altura caché en la página de detalles"
"Set the default ""cached"" size for ""big"" images on the detail pages.", "Establezca el tamaño caché por defecto para imágenes grandes en la página de detalles."
"Catalogue image cache-width", "Imagen de catálogo con anchura caché"
"Set the default ""cached"" size for images on the catalogue pages.", "Establezca el tamaño caché por defecto para imágenes del catálogo."
"Catalogue image cache-height", "Imagen de catálogo con altura caché"
"Set the default ""cached"" size for images on the catalog pages.", "Ajuste el tamaño caché por defecto para imágenes del catálogo."
"Thumbnail image cache-width", "Imagen en miniatura con ancho caché"
