
"Connection credentials","Information d'identification de connexion"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href='%s'>Cliquer ici</a> a envoyer l'e-mail de confirmation."
"Customer is already logged in.","Client s'est déjà connecté."
"Could not login","Client s'est déjà connecté"
"Login and password are required.","Connexion et mot de passe sont obligatoires."
"This account need confirmation. See in confirmation email.","Ce compte a besoin d'être confirmé. Voir l'e-mail de confirmation."
"Invalid Exception code '%d'", "Code exceptionnel invalide '%d'"
"Order List", "Liste des commandes"
"Order #", "Commande #"
"Order Date", "Date de la commande"
"Billing Country", "Pays de facturation"
"Shipping Country", "Pays de l'expédition"
"Qty. Ordered", "Quantité commandée"
"Subtotal", "Sous-total"
"Total", "Total"
"Invoiced", "Facturé"
"Status", "Statut"
"Action", "Action"
"View", "Voir"
"Total Customers from JMango360 Report", "Totalité des clients du rapport JMango360"
"JMango360 Report - Total number of registered customers", "Totalité des clients du rapport JMango360"
"Show Report", "Afficher le rapport"
"Total Ordered from JMango360 Report", "Totalité des commandes du rapport JMango360"
"JMango360 Report - Total number of orders", "Totalité des commandes du rapport JMango360"
"Total Sales from JMango360 Report", "Totalité des ventes du Rapport JMango360"
"JMango360 Report - Total number of sales", "Totalité des ventes du Rapport JMango360"
"Chart", "Graphique"
"Period", "Période"
"Customers", "Clients"
"Orders", "Commandes"
"Order From", "Commande de"
"JMango360 User", "Utilisateur JMango360"
"Download", "Télécharger"
"Clear", "Effacer"
"No", "Non"
"Yes", "Oui"
"Invalid token", "Jeton invalide"
"Session expired.", "Session expirée."
"No rest model found.", "Aucun modèle de repos trouvé."
"Resource method not implemented", "Méthode de ressource n'est pas mis-en-oeuvre"
"Minimum order amount is %s", "La somme minimale à commander est %s"
"Guest checkout is not enabled", "La validation des achats n'est pas activé"
"Product ID invalid", "Identification du produit invalide"
"Something is wrong with the order.", "Quelque chose ne va pas avec la commande."
"Something is wrong with the quote or order.", "Quelque chose ne va pas avec la commande ou le devis."
"Cart is empty.", "Panier est vide."
"Multishipping not implemented yet.", "Multiple expédition n'est pas encore mis-en-oeuvre."
"Checkout method not implemented yet: ", "Méthode du règlement n'est pas encore appliqué: "
"Could not log-out customer", "Impossible de déconnecter le client"
"Please login.", "Veuillez vous connecter."
"Country code cannot be empty", "Code du pays ne peut pas être vide"
"Country does not exist: ", "Pays n'existe pas: "
"Country does not exist", "Pays n'existe pas"
"Store not found", "Magasin non trouvé"
"Not allowed.", "N'est pas autorisé."
"Set store option %s not found", "Option Magasin %s non trouvé"
"Set store option cannot be empty.", "Option Magasin ne peut pas être vide."
"It's OK, I see it.", "It's OK, I see it."
"Product ID invalid", "Produit ID invalide"
"Product not found", "Aucun produit trouvé"
"Please login first!", "Veuillez vous connecter d'abord!"
"Cannot specify product.", "Impossible de spécifier le produit."
"Item not found", "Aucun article trouvé"
"%1$s has been updated in your wishlist.", "%1$s a été mis-à-jour dans votre liste de vœux."
"An error occurred while updating your wishlist.", "Une erreur est survenue pendant la mise-à-jour de votre liste de vœux."
"Cannot specify your wishlist item.", "Impossible de spécifier les articles de la liste de vœux."
"The product does not exist.", "Ce produit n'existe pas."
"Wishlist item removed", "Supprimer la liste de vœux"
"An error occurred while deleting the item from wishlist: %s", "Une erreur est survenue en supprimant l'article de la liste de vœux: %s"
"An error occurred while deleting the item from wishlist.", "Une erreur est survenue en supprimant l'article de la liste de vœux."
"Can't save description %s", "Impossible d'enregistrer la description: %s"
"Can't delete item from wishlist", "Impossible de supprimer l'article de la liste de vœux"
"Can't save qty %s", "Impossible d'enregistrer la quantité %s"
"Wishlist updated successfully", "Mis-à-jour de la liste de vœux réussie"
"Can't update wishlist", "Impossible de mettre-à-jour la liste de vœux"
"No item updated", "Aucun article mis-à-jour"
"Cannot specify product", "Impossible de spécifier le produit"
"%s has been added to your wishlist.", "%s a été ajouté a la liste de vœux."
"An error occurred while adding item to your wishlist: %s", "Une erreur est survenue en ajoutant l'article à la liste de vœux: %s"
