
"Please close this form and login with your new account.", "Sluit dit formulier en log in met uw nieuwe account."
"VAT Number","BTW Nummer (VAT No.)"
"Connection credentials","Verbindingsgegevens"
"This account is not confirmed. <a href='%s'>Click here</a> to resend confirmation email.","Dit account is niet geverifieerd. <a href='%s'>Klik hier</a> om bevestigingsmail opnieuw te versturen."
"Customer is already logged in.","Klant is reeds ingelogd."
"Login and password are required.","Login en wachtwoord zijn vereist."
"Invalid Exception code '%d'", "Invalid Exception code '%d'"
"Order List", "Orderlijst"
"Order #", "Ordernummer"
"Order Date", "Orderdatum"
"Billing Country", "Factuurgegevens"
"Shipping Country", "Verzendgegevens"
"Qty. Ordered", "Bestelde hoeveelheid"
"Subtotal", "Subtotaal"
"Total", "Totaal"
"Invoiced", "Gefactureerd"
"Status", "Status"
"Action", "Actie"
"View", "View"
"Total Customers from JMango360 Report", "Rapportage JMango360 - totaal aantal geregistreerde klanten"
"JMango360 Report - Total number of registered customers", "Rapportage JMango360 - totaal aantal geregistreerde klanten"
"Show Report", "Rapport weergeven"
"Total Ordered from JMango360 Report", "JMango360 - totaal aantal bestellingen"
"JMango360 Report - Total number of orders", "JMango360 - totaal aantal bestellingen"
"Total Sales from JMango360 Report", "JMango360 - totaal aantal verkopen"
"JMango360 Report - Total number of sales", "JMango360 - totaal aantal verkopen"
"Chart", "Grafiek"
"Period", "Periode"
"Customers", "Klanten"
"Orders", "Bestellingen"
"Order From", "Bestelformulier"
"JMango360 User", "JMango360 gebruiker"
"Download", "Downloaden"
"Clear", "Wissen"
"No", "Nee"
"Yes", "Ja"
"Session expired.", "Sessie verlopen."
"Invalid token", "Ongeldige token"
"Minimum order amount is %s", "Minimum bestelbedrag is %s"
"Guest checkout is not enabled", "Betalen als gast niet ingeschakeld"
"Product ID invalid", "Product ID ongeldig"
"Something is wrong with the order.", "Er klopt iets niet met de bestelling."
"Something is wrong with the quote or order.", "Er klopt iets niet met de offerte of bestelling."
"Cart is empty.", "Winkelwagen is leeg."
"Multishipping not implemented yet.", "Multi-verzending nog niet geïmplementeerd."
"Checkout method not implemented yet: ", "Nog niet geïmplementeerde betaalmethode: "
"Could not log-out customer", "Kon klant niet afmelden"
"Please login.", "Aanmelden alsjeblieft."
"Country code cannot be empty", "Landcode mag niet leeg zijn"
"Country does not exist: ", "Land bestaat niet: "
"Country does not exist", "Land bestaat niet"
"Store not found", "Winkel niet gevonden"
"Not allowed.", "Niet toegestaan."
"Set store option %s not found", "Ingestelde winkeloptie %s niet gevonden"
"Set store option cannot be empty.", "Ingestelde winkeloptie mag niet leeg zijn."
"Product ID invalid", "Product-ID ongeldig"
"Product not found", "Product niet gevonden"
"Please login first!", "Eerst aanmelden alsjeblieft!"
"Cannot specify product.", "Kan product niet specificeren."
"Item not found", "Item niet gevonden"
"%1$s has been updated in your wishlist.", "%1$s is bijgewerkt in je verlanglijst."
"An error occurred while updating your wishlist.", "Er ging iets fout bij het bijwerken van je verlanglijst."
"Cannot specify your wishlist item.", "Kan je verlanglijst-item niet specificeren."
"The product does not exist.", "Het product bestaat niet."
